[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 46, 6, 48],
[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 46, 6, 48],
[0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 45, 7, 48],
[0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 45, 7, 48],
[1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 44, 7, 49],
[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 45, 7, 48],
[0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 45, 6, 49],
[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 45, 6, 49],
[0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 44, 6, 50],
[0, 0, 2, 0, 0, 1, 0, 0, 0, 2, 43, 7, 50],
[0, 2, 0, 0, 1, 0, 0, 0, 2, 2, 41, 9, 50],
[2, 0, 0, 1, 0, 0, 0, 2, 2, 2, 41, 9, 50],
[0, 0, 1, 0, 0, 0, 2, 2, 2, 1, 41, 9, 50],
[0, 1, 0, 0, 0, 2, 2, 2, 1, 1, 41, 9, 50],
[1, 0, 0, 0, 2, 2, 2, 1, 1, 1, 41, 9, 50],
[0, 0, 2, 2, 2, 1, 1, 1, 1, 0, 40, 9, 51],
[0, 2, 2, 2, 1, 1, 1, 1, 0, 0, 39, 9, 52],
[2, 2, 2, 1, 1, 1, 1, 0, 0, 1, 39, 9, 52],
[2, 2, 1, 1, 1, 1, 0, 0, 1, 0, 38, 9, 53],
[2, 1, 1, 1, 1, 0, 0, 1, 0, 1, 39, 9, 52],
[1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 40, 9, 51],
[1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 39, 9, 52],
[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 40, 9, 51],
[1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 40, 9, 51],
[0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 40, 9, 51],
[0, 1, 0, 1, 1, 0, 1, 0, 1, 2, 39, 10, 51],
[1, 0, 1, 1, 0, 1, 0, 1, 2, 1, 39, 10, 51],
[0, 1, 1, 0, 1, 0, 1, 2, 1, 0, 38, 10, 52],
[1, 1, 0, 1, 0, 1, 2, 1, 0, 1, 39, 10, 51],
[1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 39, 10, 51],
[0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 38, 10, 52],
[1, 0, 1, 2, 1, 0, 1, 0, 0, 1, 39, 10, 51],
[0, 1, 2, 1, 0, 1, 0, 0, 1, 1, 39, 10, 51],
[1, 2, 1, 0, 1, 0, 0, 1, 1, 0, 39, 10, 51],
[2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 39, 10, 51],
[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 39, 10, 51],
[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 39, 10, 51],
[1, 0, 0, 1, 1, 0, 0, 1, 1, 2, 39, 11, 50],
[0, 0, 1, 1, 0, 0, 1, 1, 2, 0, 38, 11, 51],
[0, 1, 1, 0, 0, 1, 1, 2, 0, 1, 39, 11, 50],
[1, 1, 0, 0, 1, 1, 2, 0, 1, 0, 38, 11, 51],
[1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 38, 11, 51],
[0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 38, 11, 51],
[0, 1, 1, 2, 0, 1, 0, 0, 0, 1, 39, 11, 50],
[1, 1, 2, 0, 1, 0, 0, 0, 1, 0, 39, 11, 50],
[1, 2, 0, 1, 0, 0, 0, 1, 0, 1, 39, 11, 50],
[2, 0, 1, 0, 0, 0, 1, 0, 1, 1, 39, 11, 50],
[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 39, 11, 50],
[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 39, 11, 50],
[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 39, 11, 50],
[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 38, 11, 51],
[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 37, 11, 52],
[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 38, 11, 51],
[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 39, 11, 50],
[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 40, 11, 49],
[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 41, 10, 49],
[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 41, 10, 49],
[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 40, 10, 50],
[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 40, 10, 50],
[0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 41, 10, 49],
[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 40, 10, 50],
[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 39, 10, 51],
[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 39, 10, 51],
[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 38, 10, 52],
[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 39, 9, 52],
[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 39, 8, 53],
[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 40, 8, 52],
[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 41, 8, 51],
[1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 41, 8, 51],
[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 42, 8, 50],
[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 41, 8, 51],
[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 41, 7, 52],
[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 41, 7, 52],
[1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 41, 7, 52],
[0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 40, 7, 53],
[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 39, 7, 54],
[1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 39, 7, 54],
